"region","ålder","kön","X2019"
"Upplands Väsby","0","män",271
"Upplands Väsby","0","kvinnor",266
"Upplands Väsby","1","män",290
"Upplands Väsby","1","kvinnor",302
"Upplands Väsby","2","män",330
"Upplands Väsby","2","kvinnor",293
"Upplands Väsby","3","män",325
"Upplands Väsby","3","kvinnor",312
"Upplands Väsby","4","män",331
"Upplands Väsby","4","kvinnor",324
"Upplands Väsby","5","män",328
"Upplands Väsby","5","kvinnor",313
"Upplands Väsby","6","män",329
"Upplands Väsby","6","kvinnor",319
"Upplands Väsby","7","män",315
"Upplands Väsby","7","kvinnor",306
"Upplands Väsby","8","män",295
"Upplands Väsby","8","kvinnor",271
"Upplands Väsby","9","män",304
"Upplands Väsby","9","kvinnor",301
"Upplands Väsby","10","män",304
"Upplands Väsby","10","kvinnor",251
"Upplands Väsby","11","män",306
"Upplands Väsby","11","kvinnor",267
"Upplands Väsby","12","män",304
"Upplands Väsby","12","kvinnor",273
"Upplands Väsby","13","män",335
"Upplands Väsby","13","kvinnor",265
"Upplands Väsby","14","män",288
"Upplands Väsby","14","kvinnor",282
"Upplands Väsby","15","män",268
"Upplands Väsby","15","kvinnor",264
"Upplands Väsby","16","män",299
"Upplands Väsby","16","kvinnor",266
"Upplands Väsby","17","män",276
"Upplands Väsby","17","kvinnor",266
"Upplands Väsby","18","män",269
"Upplands Väsby","18","kvinnor",269
"Upplands Väsby","19","män",291
"Upplands Väsby","19","kvinnor",242
"Upplands Väsby","20","män",272
"Upplands Väsby","20","kvinnor",231
"Upplands Väsby","21","män",250
"Upplands Väsby","21","kvinnor",223
"Upplands Väsby","22","män",239
"Upplands Väsby","22","kvinnor",237
"Upplands Väsby","23","män",267
"Upplands Väsby","23","kvinnor",220
"Upplands Väsby","24","män",288
"Upplands Väsby","24","kvinnor",258
"Upplands Väsby","25","män",328
"Upplands Väsby","25","kvinnor",318
"Upplands Väsby","26","män",293
"Upplands Väsby","26","kvinnor",299
"Upplands Väsby","27","män",319
"Upplands Väsby","27","kvinnor",326
"Upplands Väsby","28","män",356
"Upplands Väsby","28","kvinnor",336
"Upplands Väsby","29","män",362
