"region","hushållstyp","boendeform","X2019"
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",96
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",37
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",23
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",786
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",721
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","specialbostad",41
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","övrigt boende",0
"Upplands Väsby","ensamstående kvinnor -64 år utan barn","uppgift saknas",68
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",295
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",33
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",28
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",856
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",587
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","specialbostad",103
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","övrigt boende",0
"Upplands Väsby","ensamstående kvinnor 65- år utan barn","uppgift saknas",58
"Upplands Väsby","ensamstående män -64 år utan barn","småhus, äganderätt",173
"Upplands Väsby","ensamstående män -64 år utan barn","småhus, bostadsrätt",47
"Upplands Väsby","ensamstående män -64 år utan barn","småhus, hyresrätt",28
"Upplands Väsby","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",1037
"Upplands Väsby","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",1047
"Upplands Väsby","ensamstående män -64 år utan barn","specialbostad",67
"Upplands Väsby","ensamstående män -64 år utan barn","övrigt boende",7
"Upplands Väsby","ensamstående män -64 år utan barn","uppgift saknas",147
"Upplands Väsby","ensamstående män 65- år utan barn","småhus, äganderätt",186
"Upplands Väsby","ensamstående män 65- år utan barn","småhus, bostadsrätt",5
"Upplands Väsby","ensamstående män 65- år utan barn","småhus, hyresrätt",12
"Upplands Väsby","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",287
"Upplands Väsby","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",263
"Upplands Väsby","ensamstående män 65- år utan barn","specialbostad",46
"Upplands Väsby","ensamstående män 65- år utan barn","övrigt boende",0
"Upplands Väsby","ensamstående män 65- år utan barn","uppgift saknas",35
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",179
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",59
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",14
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",336
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",504
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","övrigt boende",0
"Upplands Väsby","ensamstående kvinnor med barn 0-24 år","uppgift saknas",35
"Upplands Väsby","ensamstående män med barn 0-24 år","småhus, äganderätt",139
"Upplands Väsby","ensamstående män med barn 0-24 år","småhus, bostadsrätt",9
"Upplands Väsby","ensamstående män med barn 0-24 år","småhus, hyresrätt",0
"Upplands Väsby","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",97
"Upplands Väsby","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",111
"Upplands Väsby","ensamstående män med barn 0-24 år","specialbostad",0
"Upplands Väsby","ensamstående män med barn 0-24 år","övrigt boende",0
"Upplands Väsby","ensamstående män med barn 0-24 år","uppgift saknas",5
"Upplands Väsby","sammanboende utan barn","småhus, äganderätt",1681
"Upplands Väsby","sammanboende utan barn","småhus, bostadsrätt",111
"Upplands Väsby","sammanboende utan barn","småhus, hyresrätt",34
"Upplands Väsby","sammanboende utan barn","flerbostadshus, bostadsrätt",1414
"Upplands Väsby","sammanboende utan barn","flerbostadshus, hyresrätt",746
"Upplands Väsby","sammanboende utan barn","specialbostad",22
"Upplands Väsby","sammanboende utan barn","övrigt boende",0
"Upplands Väsby","sammanboende utan barn","uppgift saknas",17
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",637
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",113
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",21
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",367
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",325
