"region","civilstånd","ålder","kön","X2019"
"Upplands Väsby","ogifta","12","män",304
"Upplands Väsby","ogifta","12","kvinnor",273
"Upplands Väsby","ogifta","13","män",335
"Upplands Väsby","ogifta","13","kvinnor",265
"Upplands Väsby","ogifta","14","män",288
"Upplands Väsby","ogifta","14","kvinnor",282
"Upplands Väsby","ogifta","15","män",268
"Upplands Väsby","ogifta","15","kvinnor",264
"Upplands Väsby","ogifta","16","män",299
"Upplands Väsby","ogifta","16","kvinnor",266
"Upplands Väsby","ogifta","17","män",276
"Upplands Väsby","ogifta","17","kvinnor",266
"Upplands Väsby","ogifta","18","män",269
"Upplands Väsby","ogifta","18","kvinnor",269
"Upplands Väsby","ogifta","19","män",289
"Upplands Väsby","ogifta","19","kvinnor",241
"Upplands Väsby","ogifta","20","män",271
"Upplands Väsby","ogifta","20","kvinnor",224
"Upplands Väsby","ogifta","21","män",249
"Upplands Väsby","ogifta","21","kvinnor",211
"Upplands Väsby","ogifta","22","män",238
"Upplands Väsby","ogifta","22","kvinnor",223
"Upplands Väsby","ogifta","23","män",259
"Upplands Väsby","ogifta","23","kvinnor",200
"Upplands Väsby","ogifta","24","män",277
"Upplands Väsby","ogifta","24","kvinnor",231
"Upplands Väsby","ogifta","25","män",304
"Upplands Väsby","ogifta","25","kvinnor",244
"Upplands Väsby","gifta","12","män",0
"Upplands Väsby","gifta","12","kvinnor",0
"Upplands Väsby","gifta","13","män",0
"Upplands Väsby","gifta","13","kvinnor",0
"Upplands Väsby","gifta","14","män",0
"Upplands Väsby","gifta","14","kvinnor",0
"Upplands Väsby","gifta","15","män",0
"Upplands Väsby","gifta","15","kvinnor",0
"Upplands Väsby","gifta","16","män",0
"Upplands Väsby","gifta","16","kvinnor",0
"Upplands Väsby","gifta","17","män",0
"Upplands Väsby","gifta","17","kvinnor",0
"Upplands Väsby","gifta","18","män",0
"Upplands Väsby","gifta","18","kvinnor",0
"Upplands Väsby","gifta","19","män",2
"Upplands Väsby","gifta","19","kvinnor",1
"Upplands Väsby","gifta","20","män",1
"Upplands Väsby","gifta","20","kvinnor",6
"Upplands Väsby","gifta","21","män",1
"Upplands Väsby","gifta","21","kvinnor",11
"Upplands Väsby","gifta","22","män",1
"Upplands Väsby","gifta","22","kvinnor",13
"Upplands Väsby","gifta","23","män",8
"Upplands Väsby","gifta","23","kvinnor",19
"Upplands Väsby","gifta","24","män",10
"Upplands Väsby","gifta","24","kvinnor",25
"Upplands Väsby","gifta","25","män",22
"Upplands Väsby","gifta","25","kvinnor",65
"Upplands Väsby","skilda","12","män",0
"Upplands Väsby","skilda","12","kvinnor",0
"Upplands Väsby","skilda","13","män",0
"Upplands Väsby","skilda","13","kvinnor",0
"Upplands Väsby","skilda","14","män",0
"Upplands Väsby","skilda","14","kvinnor",0
"Upplands Väsby","skilda","15","män",0
"Upplands Väsby","skilda","15","kvinnor",0
"Upplands Väsby","skilda","16","män",0
"Upplands Väsby","skilda","16","kvinnor",0
"Upplands Väsby","skilda","17","män",0
"Upplands Väsby","skilda","17","kvinnor",0
"Upplands Väsby","skilda","18","män",0
"Upplands Väsby","skilda","18","kvinnor",0
"Upplands Väsby","skilda","19","män",0
"Upplands Väsby","skilda","19","kvinnor",0
"Upplands Väsby","skilda","20","män",0
"Upplands Väsby","skilda","20","kvinnor",1
"Upplands Väsby","skilda","21","män",0
"Upplands Väsby","skilda","21","kvinnor",1
"Upplands Väsby","skilda","22","män",0
"Upplands Väsby","skilda","22","kvinnor",1
"Upplands Väsby","skilda","23","män",0
"Upplands Väsby","skilda","23","kvinnor",1
"Upplands Väsby","skilda","24","män",1
"Upplands Väsby","skilda","24","kvinnor",2
"Upplands Väsby","skilda","25","män",2
"Upplands Väsby","skilda","25","kvinnor",8
"Upplands Väsby","änkor/änklingar","12","män",0
"Upplands Väsby","änkor/änklingar","12","kvinnor",0
"Upplands Väsby","änkor/änklingar","13","män",0
"Upplands Väsby","änkor/änklingar","13","kvinnor",0
"Upplands Väsby","änkor/änklingar","14","män",0
"Upplands Väsby","änkor/änklingar","14","kvinnor",0
"Upplands Väsby","änkor/änklingar","15","män",0
"Upplands Väsby","änkor/änklingar","15","kvinnor",0
"Upplands Väsby","änkor/änklingar","16","män",0
"Upplands Väsby","änkor/änklingar","16","kvinnor",0
"Upplands Väsby","änkor/änklingar","17","män",0
"Upplands Väsby","änkor/änklingar","17","kvinnor",0
"Upplands Väsby","änkor/änklingar","18","män",0
"Upplands Väsby","änkor/änklingar","18","kvinnor",0
"Upplands Väsby","änkor/änklingar","19","män",0
"Upplands Väsby","änkor/änklingar","19","kvinnor",0
"Upplands Väsby","änkor/änklingar","20","män",0
"Upplands Väsby","änkor/änklingar","20","kvinnor",0
"Upplands Väsby","änkor/änklingar","21","män",0
"Upplands Väsby","änkor/änklingar","21","kvinnor",0
"Upplands Väsby","änkor/änklingar","22","män",0
"Upplands Väsby","änkor/änklingar","22","kvinnor",0
"Upplands Väsby","änkor/änklingar","23","män",0
"Upplands Väsby","änkor/änklingar","23","kvinnor",0
"Upplands Väsby","änkor/änklingar","24","män",0
"Upplands Väsby","änkor/änklingar","24","kvinnor",0
"Upplands Väsby","änkor/änklingar","25","män",0
"Upplands Väsby","änkor/änklingar","25","kvinnor",1
"Vallentuna","ogifta","12","män",280
"Vallentuna","ogifta","12","kvinnor",231
"Vallentuna","ogifta","13","män",263
"Vallentuna","ogifta","13","kvinnor",228
"Vallentuna","ogifta","14","män",270
"Vallentuna","ogifta","14","kvinnor",264
"Vallentuna","ogifta","15","män",259
"Vallentuna","ogifta","15","kvinnor",245
"Vallentuna","ogifta","16","män",235
"Vallentuna","ogifta","16","kvinnor",224
"Vallentuna","ogifta","17","män",252
"Vallentuna","ogifta","17","kvinnor",234
"Vallentuna","ogifta","18","män",224
"Vallentuna","ogifta","18","kvinnor",211
"Vallentuna","ogifta","19","män",205
"Vallentuna","ogifta","19","kvinnor",201
"Vallentuna","ogifta","20","män",230
"Vallentuna","ogifta","20","kvinnor",139
"Vallentuna","ogifta","21","män",173
"Vallentuna","ogifta","21","kvinnor",174
"Vallentuna","ogifta","22","män",178
"Vallentuna","ogifta","22","kvinnor",121
"Vallentuna","ogifta","23","män",158
"Vallentuna","ogifta","23","kvinnor",135
"Vallentuna","ogifta","24","män",179
"Vallentuna","ogifta","24","kvinnor",125
"Vallentuna","ogifta","25","män",195
"Vallentuna","ogifta","25","kvinnor",134
"Vallentuna","gifta","12","män",0
"Vallentuna","gifta","12","kvinnor",0
"Vallentuna","gifta","13","män",0
"Vallentuna","gifta","13","kvinnor",0
"Vallentuna","gifta","14","män",0
"Vallentuna","gifta","14","kvinnor",0
"Vallentuna","gifta","15","män",0
"Vallentuna","gifta","15","kvinnor",0
"Vallentuna","gifta","16","män",0
"Vallentuna","gifta","16","kvinnor",0
"Vallentuna","gifta","17","män",0
"Vallentuna","gifta","17","kvinnor",0
"Vallentuna","gifta","18","män",0
"Vallentuna","gifta","18","kvinnor",0
"Vallentuna","gifta","19","män",0
"Vallentuna","gifta","19","kvinnor",0
"Vallentuna","gifta","20","män",0
"Vallentuna","gifta","20","kvinnor",0
"Vallentuna","gifta","21","män",1
"Vallentuna","gifta","21","kvinnor",3
"Vallentuna","gifta","22","män",1
"Vallentuna","gifta","22","kvinnor",3
"Vallentuna","gifta","23","män",2
"Vallentuna","gifta","23","kvinnor",8
"Vallentuna","gifta","24","män",3
"Vallentuna","gifta","24","kvinnor",11
"Vallentuna","gifta","25","män",4
"Vallentuna","gifta","25","kvinnor",16
"Vallentuna","skilda","12","män",0
"Vallentuna","skilda","12","kvinnor",0
"Vallentuna","skilda","13","män",0
"Vallentuna","skilda","13","kvinnor",0
"Vallentuna","skilda","14","män",0
"Vallentuna","skilda","14","kvinnor",0
"Vallentuna","skilda","15","män",0
"Vallentuna","skilda","15","kvinnor",0
"Vallentuna","skilda","16","män",0
"Vallentuna","skilda","16","kvinnor",0
"Vallentuna","skilda","17","män",0
"Vallentuna","skilda","17","kvinnor",0
"Vallentuna","skilda","18","män",0
"Vallentuna","skilda","18","kvinnor",0
"Vallentuna","skilda","19","män",0
"Vallentuna","skilda","19","kvinnor",0
"Vallentuna","skilda","20","män",0
"Vallentuna","skilda","20","kvinnor",0
"Vallentuna","skilda","21","män",0
"Vallentuna","skilda","21","kvinnor",0
"Vallentuna","skilda","22","män",0
"Vallentuna","skilda","22","kvinnor",0
"Vallentuna","skilda","23","män",0
"Vallentuna","skilda","23","kvinnor",0
"Vallentuna","skilda","24","män",0
"Vallentuna","skilda","24","kvinnor",1
"Vallentuna","skilda","25","män",1
"Vallentuna","skilda","25","kvinnor",2
"Vallentuna","änkor/änklingar","12","män",0
"Vallentuna","änkor/änklingar","12","kvinnor",0
"Vallentuna","änkor/änklingar","13","män",0
"Vallentuna","änkor/änklingar","13","kvinnor",0
