"region","hushållsstorlek","X2019"
"Upplands Väsby","1 person",7126
"Upplands Väsby","2 personer",10986
"Upplands Väsby","3 personer",8358
"Upplands Väsby","4 personer",11064
"Upplands Väsby","5 personer",5155
"Upplands Väsby","6 personer",1992
"Upplands Väsby","7+ personer",2008
"Upplands Väsby","uppgift saknas",97
"Vallentuna","1 person",3849
"Vallentuna","2 personer",7556
"Vallentuna","3 personer",5886
"Vallentuna","4 personer",10188
"Vallentuna","5 personer",4290
"Vallentuna","6 personer",1248
"Vallentuna","7+ personer",1042
"Vallentuna","uppgift saknas",31
"Österåker","1 person",5478
"Österåker","2 personer",10812
"Österåker","3 personer",7854
"Österåker","4 personer",12624
"Österåker","5 personer",5465
"Österåker","6 personer",1860
"Österåker","7+ personer",1406
"Österåker","uppgift saknas",75
"Värmdö","1 person",5770
"Värmdö","2 personer",10738
"Värmdö","3 personer",7962
"Värmdö","4 personer",12536
"Värmdö","5 personer",5110
"Värmdö","6 personer",1578
"Värmdö","7+ personer",1248
"Värmdö","uppgift saknas",58
"Järfälla","1 person",11740
"Järfälla","2 personer",18100
"Järfälla","3 personer",13443
"Järfälla","4 personer",19156
"Järfälla","5 personer",9505
"Järfälla","6 personer",3720
"Järfälla","7+ personer",4169
"Järfälla","uppgift saknas",157
"Ekerö","1 person",3070
"Ekerö","2 personer",6150
"Ekerö","3 personer",4836
"Ekerö","4 personer",8728
"Ekerö","5 personer",3860
"Ekerö","6 personer",978
"Ekerö","7+ personer",1028
"Ekerö","uppgift saknas",40
"Huddinge","1 person",14766
"Huddinge","2 personer",22598
"Huddinge","3 personer",18924
"Huddinge","4 personer",30024
"Huddinge","5 personer",14480
"Huddinge","6 personer",5154
"Huddinge","7+ personer",6620
"Huddinge","uppgift saknas",282
"Botkyrka","1 person",11505
"Botkyrka","2 personer",18206
"Botkyrka","3 personer",15204
"Botkyrka","4 personer",20936
"Botkyrka","5 personer",13690
"Botkyrka","6 personer",6858
"Botkyrka","7+ personer",7917
"Botkyrka","uppgift saknas",290
"Salem","1 person",1806
"Salem","2 personer",3716
"Salem","3 personer",2883
"Salem","4 personer",4484
"Salem","5 personer",2400
"Salem","6 personer",810
"Salem","7+ personer",629
"Salem","uppgift saknas",22
"Haninge","1 person",12875
"Haninge","2 personer",20364
"Haninge","3 personer",16251
"Haninge","4 personer",21872
"Haninge","5 personer",11050
"Haninge","6 personer",4422
"Haninge","7+ personer",5041
"Haninge","uppgift saknas",220
"Tyresö","1 person",6255
"Tyresö","2 personer",11192
"Tyresö","3 personer",8616
"Tyresö","4 personer",13396
"Tyresö","5 personer",5440
"Tyresö","6 personer",1866
"Tyresö","7+ personer",1471
"Tyresö","uppgift saknas",97
"Upplands-Bro","1 person",3928
"Upplands-Bro","2 personer",6588
"Upplands-Bro","3 personer",4911
"Upplands-Bro","4 personer",7372
"Upplands-Bro","5 personer",3450
"Upplands-Bro","6 personer",1530
"Upplands-Bro","7+ personer",1522
"Upplands-Bro","uppgift saknas",45
"Nykvarn","1 person",1209
"Nykvarn","2 personer",2784
"Nykvarn","3 personer",1935
"Nykvarn","4 personer",3160
"Nykvarn","5 personer",1270
"Nykvarn","6 personer",384
"Nykvarn","7+ personer",263
"Nykvarn","uppgift saknas",9
"Täby","1 person",9330
"Täby","2 personer",16708
"Täby","3 personer",11940
"Täby","4 personer",21220
"Täby","5 personer",8645
"Täby","6 personer",2166
"Täby","7+ personer",1798
"Täby","uppgift saknas",67
"Danderyd","1 person",4044
"Danderyd","2 personer",6618
"Danderyd","3 personer",4902
"Danderyd","4 personer",8816
"Danderyd","5 personer",5620
"Danderyd","6 personer",1566
"Danderyd","7+ personer",1250
"Danderyd","uppgift saknas",41
"Sollentuna","1 person",9533
"Sollentuna","2 personer",15618
"Sollentuna","3 personer",12990
"Sollentuna","4 personer",20616
"Sollentuna","5 personer",9240
"Sollentuna","6 personer",2862
"Sollentuna","7+ personer",2884
"Sollentuna","uppgift saknas",114
"Stockholm","1 person",202555
"Stockholm","2 personer",250198
"Stockholm","3 personer",169236
"Stockholm","4 personer",196928
"Stockholm","5 personer",83785
"Stockholm","6 personer",31650
"Stockholm","7+ personer",36958
"Stockholm","uppgift saknas",2763
"Södertälje","1 person",16138
"Södertälje","2 personer",21814
"Södertälje","3 personer",15522
"Södertälje","4 personer",20236
"Södertälje","5 personer",13175
"Södertälje","6 personer",5970
"Södertälje","7+ personer",5890
"Södertälje","uppgift saknas",234
"Nacka","1 person",14115
"Nacka","2 personer",23334
"Nacka","3 personer",18003
"Nacka","4 personer",28612
"Nacka","5 personer",13385
"Nacka","6 personer",3780
"Nacka","7+ personer",3744
"Nacka","uppgift saknas",216
"Sundbyberg","1 person",10377
"Sundbyberg","2 personer",13650
"Sundbyberg","3 personer",9366
"Sundbyberg","4 personer",10284
"Sundbyberg","5 personer",4545
"Sundbyberg","6 personer",1782
"Sundbyberg","7+ personer",2259
"Sundbyberg","uppgift saknas",151
"Solna","1 person",18174
"Solna","2 personer",22964
"Solna","3 personer",15981
"Solna","4 personer",15532
"Solna","5 personer",5790
"Solna","6 personer",1980
"Solna","7+ personer",1814
"Solna","uppgift saknas",194
"Lidingö","1 person",7567
"Lidingö","2 personer",11048
"Lidingö","3 personer",7527
"Lidingö","4 personer",12348
"Lidingö","5 personer",6450
"Lidingö","6 personer",1830
"Lidingö","7+ personer",1281
"Lidingö","uppgift saknas",72
"Vaxholm","1 person",1542
"Vaxholm","2 personer",3014
"Vaxholm","3 personer",1794
"Vaxholm","4 personer",3536
"Vaxholm","5 personer",1510
"Vaxholm","6 personer",390
"Vaxholm","7+ personer",208
"Vaxholm","uppgift saknas",9
"Norrtälje","1 person",12187
"Norrtälje","2 personer",20066
"Norrtälje","3 personer",9678
"Norrtälje","4 personer",11468
"Norrtälje","5 personer",5575
"Norrtälje","6 personer",1932
"Norrtälje","7+ personer",1610
"Norrtälje","uppgift saknas",106
"Sigtuna","1 person",6596
"Sigtuna","2 personer",10108
"Sigtuna","3 personer",8598
"Sigtuna","4 personer",11068
"Sigtuna","5 personer",6500
