"region","kön","ålder","MedTyp","X2018"
"Upplands Väsby","män","totalt 16+ år","Medelvärde",355.7
"Upplands Väsby","män","totalt 16+ år","Median",336.7
"Upplands Väsby","män","16-19 år","Medelvärde",24.4
"Upplands Väsby","män","16-19 år","Median",6.3
"Upplands Väsby","män","totalt 20+ år","Medelvärde",376.9
"Upplands Väsby","män","totalt 20+ år","Median",350.6
"Upplands Väsby","män","20-24 år","Medelvärde",185.9
"Upplands Väsby","män","20-24 år","Median",179.4
"Upplands Väsby","kvinnor","totalt 16+ år","Medelvärde",274.3
"Upplands Väsby","kvinnor","totalt 16+ år","Median",253.6
"Upplands Väsby","kvinnor","16-19 år","Medelvärde",28.5
"Upplands Väsby","kvinnor","16-19 år","Median",7.6
"Upplands Väsby","kvinnor","totalt 20+ år","Medelvärde",288.3
"Upplands Väsby","kvinnor","totalt 20+ år","Median",267
"Upplands Väsby","kvinnor","20-24 år","Medelvärde",165
"Upplands Väsby","kvinnor","20-24 år","Median",156.1
"Upplands Väsby","totalt","totalt 16+ år","Medelvärde",314.8
"Upplands Väsby","totalt","totalt 16+ år","Median",294.3
"Upplands Väsby","totalt","16-19 år","Medelvärde",26.3
"Upplands Väsby","totalt","16-19 år","Median",7
"Upplands Väsby","totalt","totalt 20+ år","Medelvärde",332.2
"Upplands Väsby","totalt","totalt 20+ år","Median",308.7
"Upplands Väsby","totalt","20-24 år","Medelvärde",175.9
"Upplands Väsby","totalt","20-24 år","Median",170.4
"Vallentuna","män","totalt 16+ år","Medelvärde",403.3
"Vallentuna","män","totalt 16+ år","Median",369.1
"Vallentuna","män","16-19 år","Medelvärde",22.6
"Vallentuna","män","16-19 år","Median",7.4
"Vallentuna","män","totalt 20+ år","Medelvärde",432
"Vallentuna","män","totalt 20+ år","Median",389.3
"Vallentuna","män","20-24 år","Medelvärde",188.1
"Vallentuna","män","20-24 år","Median",183
"Vallentuna","kvinnor","totalt 16+ år","Medelvärde",304.3
"Vallentuna","kvinnor","totalt 16+ år","Median",287.4
"Vallentuna","kvinnor","16-19 år","Medelvärde",27.7
"Vallentuna","kvinnor","16-19 år","Median",9.2
"Vallentuna","kvinnor","totalt 20+ år","Medelvärde",322.5
"Vallentuna","kvinnor","totalt 20+ år","Median",302.3
"Vallentuna","kvinnor","20-24 år","Medelvärde",155.5
"Vallentuna","kvinnor","20-24 år","Median",147.3
"Vallentuna","totalt","totalt 16+ år","Medelvärde",353.6
"Vallentuna","totalt","totalt 16+ år","Median",327.2
"Vallentuna","totalt","16-19 år","Medelvärde",25
"Vallentuna","totalt","16-19 år","Median",8.1
"Vallentuna","totalt","totalt 20+ år","Medelvärde",376.8
"Vallentuna","totalt","totalt 20+ år","Median",343.9
"Vallentuna","totalt","20-24 år","Medelvärde",173.1
"Vallentuna","totalt","20-24 år","Median",161.7
"Österåker","män","totalt 16+ år","Medelvärde",399.9
"Österåker","män","totalt 16+ år","Median",357.4
"Österåker","män","16-19 år","Medelvärde",22
"Österåker","män","16-19 år","Median",4.5
"Österåker","män","totalt 20+ år","Medelvärde",426.7
"Österåker","män","totalt 20+ år","Median",374.3
"Österåker","män","20-24 år","Medelvärde",179
"Österåker","män","20-24 år","Median",177.8
"Österåker","kvinnor","totalt 16+ år","Medelvärde",302.7
"Österåker","kvinnor","totalt 16+ år","Median",277.6
"Österåker","kvinnor","16-19 år","Medelvärde",28.4
"Österåker","kvinnor","16-19 år","Median",9.4
"Österåker","kvinnor","totalt 20+ år","Medelvärde",320.1
"Österåker","kvinnor","totalt 20+ år","Median",292.4
"Österåker","kvinnor","20-24 år","Medelvärde",169.4
"Österåker","kvinnor","20-24 år","Median",164.8
"Österåker","totalt","totalt 16+ år","Medelvärde",351.8
"Österåker","totalt","totalt 16+ år","Median",315.8
"Österåker","totalt","16-19 år","Medelvärde",25
"Österåker","totalt","16-19 år","Median",6.2
"Österåker","totalt","totalt 20+ år","Medelvärde",373.8
"Österåker","totalt","totalt 20+ år","Median",332.4
"Österåker","totalt","20-24 år","Medelvärde",174.6
"Österåker","totalt","20-24 år","Median",172.2
"Värmdö","män","totalt 16+ år","Medelvärde",395.6
"Värmdö","män","totalt 16+ år","Median",360
"Värmdö","män","16-19 år","Medelvärde",25.6
"Värmdö","män","16-19 år","Median",7.7
"Värmdö","män","totalt 20+ år","Medelvärde",422.6
"Värmdö","män","totalt 20+ år","Median",378.5
"Värmdö","män","20-24 år","Medelvärde",186.9
"Värmdö","män","20-24 år","Median",174.1
"Värmdö","kvinnor","totalt 16+ år","Medelvärde",312.9
"Värmdö","kvinnor","totalt 16+ år","Median",291.6
"Värmdö","kvinnor","16-19 år","Medelvärde",31.1
"Värmdö","kvinnor","16-19 år","Median",13.8
"Värmdö","kvinnor","totalt 20+ år","Medelvärde",331.4
"Värmdö","kvinnor","totalt 20+ år","Median",306.9
"Värmdö","kvinnor","20-24 år","Medelvärde",168.9
"Värmdö","kvinnor","20-24 år","Median",165.5
"Värmdö","totalt","totalt 16+ år","Medelvärde",354.4
"Värmdö","totalt","totalt 16+ år","Median",323.7
"Värmdö","totalt","16-19 år","Medelvärde",28.2
"Värmdö","totalt","16-19 år","Median",10
"Värmdö","totalt","totalt 20+ år","Medelvärde",377
"Värmdö","totalt","totalt 20+ år","Median",340.9
"Värmdö","totalt","20-24 år","Medelvärde",178.3
"Värmdö","totalt","20-24 år","Median",169.5
"Järfälla","män","totalt 16+ år","Medelvärde",360.4
"Järfälla","män","totalt 16+ år","Median",339.6
"Järfälla","män","16-19 år","Medelvärde",21
"Järfälla","män","16-19 år","Median",4.4
"Järfälla","män","totalt 20+ år","Medelvärde",383.3
"Järfälla","män","totalt 20+ år","Median",356.6
"Järfälla","män","20-24 år","Medelvärde",179.4
"Järfälla","män","20-24 år","Median",156.9
"Järfälla","kvinnor","totalt 16+ år","Medelvärde",278.9
"Järfälla","kvinnor","totalt 16+ år","Median",258.4
"Järfälla","kvinnor","16-19 år","Medelvärde",24.7
"Järfälla","kvinnor","16-19 år","Median",5.7
"Järfälla","kvinnor","totalt 20+ år","Medelvärde",293.5
"Järfälla","kvinnor","totalt 20+ år","Median",271.7
"Järfälla","kvinnor","20-24 år","Medelvärde",153.1
"Järfälla","kvinnor","20-24 år","Median",134.6
"Järfälla","totalt","totalt 16+ år","Medelvärde",319.7
"Järfälla","totalt","totalt 16+ år","Median",298.3
"Järfälla","totalt","16-19 år","Medelvärde",22.7
"Järfälla","totalt","16-19 år","Median",4.9
"Järfälla","totalt","totalt 20+ år","Medelvärde",338.2
"Järfälla","totalt","totalt 20+ år","Median",313.5
"Järfälla","totalt","20-24 år","Medelvärde",166.8
"Järfälla","totalt","20-24 år","Median",147.1
"Ekerö","män","totalt 16+ år","Medelvärde",488.3
"Ekerö","män","totalt 16+ år","Median",383.7
"Ekerö","män","16-19 år","Medelvärde",23
"Ekerö","män","16-19 år","Median",7.2
"Ekerö","män","totalt 20+ år","Medelvärde",524.8
"Ekerö","män","totalt 20+ år","Median",407
"Ekerö","män","20-24 år","Medelvärde",174
"Ekerö","män","20-24 år","Median",159.7
"Ekerö","kvinnor","totalt 16+ år","Medelvärde",331.8
"Ekerö","kvinnor","totalt 16+ år","Median",300.7
"Ekerö","kvinnor","16-19 år","Medelvärde",26.5
"Ekerö","kvinnor","16-19 år","Median",9.3
"Ekerö","kvinnor","totalt 20+ år","Medelvärde",353.4
"Ekerö","kvinnor","totalt 20+ år","Median",316.8
"Ekerö","kvinnor","20-24 år","Medelvärde",157.4
"Ekerö","kvinnor","20-24 år","Median",151.1
"Ekerö","totalt","totalt 16+ år","Medelvärde",409.7
"Ekerö","totalt","totalt 16+ år","Median",339.1
"Ekerö","totalt","16-19 år","Medelvärde",24.7
"Ekerö","totalt","16-19 år","Median",8.1
"Ekerö","totalt","totalt 20+ år","Medelvärde",438.4
