"region","ålder","kön","födelseregion","X2019"
"Upplands Väsby","12","män","Född i Sverige",254
"Upplands Väsby","12","män","Utrikes född",50
"Upplands Väsby","12","kvinnor","Född i Sverige",234
"Upplands Väsby","12","kvinnor","Utrikes född",39
"Upplands Väsby","13","män","Född i Sverige",285
"Upplands Väsby","13","män","Utrikes född",50
"Upplands Väsby","13","kvinnor","Född i Sverige",228
"Upplands Väsby","13","kvinnor","Utrikes född",37
"Upplands Väsby","14","män","Född i Sverige",242
"Upplands Väsby","14","män","Utrikes född",46
"Upplands Väsby","14","kvinnor","Född i Sverige",229
"Upplands Väsby","14","kvinnor","Utrikes född",53
"Upplands Väsby","15","män","Född i Sverige",223
"Upplands Väsby","15","män","Utrikes född",45
"Upplands Väsby","15","kvinnor","Född i Sverige",224
"Upplands Väsby","15","kvinnor","Utrikes född",40
"Upplands Väsby","16","män","Född i Sverige",251
"Upplands Väsby","16","män","Utrikes född",48
"Upplands Väsby","16","kvinnor","Född i Sverige",227
"Upplands Väsby","16","kvinnor","Utrikes född",39
"Upplands Väsby","17","män","Född i Sverige",219
"Upplands Väsby","17","män","Utrikes född",57
"Upplands Väsby","17","kvinnor","Född i Sverige",204
"Upplands Väsby","17","kvinnor","Utrikes född",62
"Upplands Väsby","18","män","Född i Sverige",220
"Upplands Väsby","18","män","Utrikes född",49
"Upplands Väsby","18","kvinnor","Född i Sverige",217
"Upplands Väsby","18","kvinnor","Utrikes född",52
"Upplands Väsby","19","män","Född i Sverige",213
"Upplands Väsby","19","män","Utrikes född",78
"Upplands Väsby","19","kvinnor","Född i Sverige",185
"Upplands Väsby","19","kvinnor","Utrikes född",57
"Upplands Väsby","20","män","Född i Sverige",174
"Upplands Väsby","20","män","Utrikes född",98
"Upplands Väsby","20","kvinnor","Född i Sverige",171
"Upplands Väsby","20","kvinnor","Utrikes född",60
"Upplands Väsby","21","män","Född i Sverige",178
"Upplands Väsby","21","män","Utrikes född",72
"Upplands Väsby","21","kvinnor","Född i Sverige",163
"Upplands Väsby","21","kvinnor","Utrikes född",60
"Upplands Väsby","22","män","Född i Sverige",182
"Upplands Väsby","22","män","Utrikes född",57
"Upplands Väsby","22","kvinnor","Född i Sverige",182
"Upplands Väsby","22","kvinnor","Utrikes född",55
"Upplands Väsby","23","män","Född i Sverige",185
"Upplands Väsby","23","män","Utrikes född",82
"Upplands Väsby","23","kvinnor","Född i Sverige",157
"Upplands Väsby","23","kvinnor","Utrikes född",63
"Upplands Väsby","24","män","Född i Sverige",202
"Upplands Väsby","24","män","Utrikes född",86
"Upplands Väsby","24","kvinnor","Född i Sverige",181
"Upplands Väsby","24","kvinnor","Utrikes född",77
"Upplands Väsby","25","män","Född i Sverige",239
"Upplands Väsby","25","män","Utrikes född",89
"Upplands Väsby","25","kvinnor","Född i Sverige",219
"Upplands Väsby","25","kvinnor","Utrikes född",99
"Vallentuna","12","män","Född i Sverige",258
"Vallentuna","12","män","Utrikes född",22
"Vallentuna","12","kvinnor","Född i Sverige",214
"Vallentuna","12","kvinnor","Utrikes född",17
"Vallentuna","13","män","Född i Sverige",251
"Vallentuna","13","män","Utrikes född",12
"Vallentuna","13","kvinnor","Född i Sverige",218
"Vallentuna","13","kvinnor","Utrikes född",10
"Vallentuna","14","män","Född i Sverige",250
"Vallentuna","14","män","Utrikes född",20
"Vallentuna","14","kvinnor","Född i Sverige",242
"Vallentuna","14","kvinnor","Utrikes född",22
"Vallentuna","15","män","Född i Sverige",239
"Vallentuna","15","män","Utrikes född",20
"Vallentuna","15","kvinnor","Född i Sverige",226
"Vallentuna","15","kvinnor","Utrikes född",19
"Vallentuna","16","män","Född i Sverige",208
"Vallentuna","16","män","Utrikes född",27
"Vallentuna","16","kvinnor","Född i Sverige",205
"Vallentuna","16","kvinnor","Utrikes född",19
"Vallentuna","17","män","Född i Sverige",232
"Vallentuna","17","män","Utrikes född",20
"Vallentuna","17","kvinnor","Född i Sverige",206
"Vallentuna","17","kvinnor","Utrikes född",28
"Vallentuna","18","män","Född i Sverige",191
"Vallentuna","18","män","Utrikes född",33
"Vallentuna","18","kvinnor","Född i Sverige",187
"Vallentuna","18","kvinnor","Utrikes född",24
"Vallentuna","19","män","Född i Sverige",178
"Vallentuna","19","män","Utrikes född",27
"Vallentuna","19","kvinnor","Född i Sverige",172
"Vallentuna","19","kvinnor","Utrikes född",29
"Vallentuna","20","män","Född i Sverige",190
"Vallentuna","20","män","Utrikes född",40
"Vallentuna","20","kvinnor","Född i Sverige",121
"Vallentuna","20","kvinnor","Utrikes född",18
"Vallentuna","21","män","Född i Sverige",146
"Vallentuna","21","män","Utrikes född",28
"Vallentuna","21","kvinnor","Född i Sverige",150
"Vallentuna","21","kvinnor","Utrikes född",27
"Vallentuna","22","män","Född i Sverige",144
"Vallentuna","22","män","Utrikes född",35
"Vallentuna","22","kvinnor","Född i Sverige",108
"Vallentuna","22","kvinnor","Utrikes född",16
"Vallentuna","23","män","Född i Sverige",129
"Vallentuna","23","män","Utrikes född",31
