"region","Nivå","X2019"
"Upplands Väsby","Kommun",19.42
"Upplands Väsby","Region",12.08
"Vallentuna","Kommun",19
"Vallentuna","Region",12.08
"Österåker","Kommun",17
"Österåker","Region",12.08
"Värmdö","Kommun",19.18
"Värmdö","Region",12.08
"Järfälla","Kommun",19.15
"Järfälla","Region",12.08
"Ekerö","Kommun",19.25
"Ekerö","Region",12.08
"Huddinge","Kommun",19.77
"Huddinge","Region",12.08
"Botkyrka","Kommun",20.15
"Botkyrka","Region",12.08
"Salem","Kommun",19.67
"Salem","Region",12.08
"Haninge","Kommun",19.68
"Haninge","Region",12.08
"Tyresö","Kommun",19.75
"Tyresö","Region",12.08
"Upplands-Bro","Kommun",19.6
"Upplands-Bro","Region",12.08
"Nykvarn","Kommun",19.97
"Nykvarn","Region",12.08
"Täby","Kommun",17.55
"Täby","Region",12.08
"Danderyd","Kommun",18.75
"Danderyd","Region",12.08
"Sollentuna","Kommun",18.12
"Sollentuna","Region",12.08
"Stockholm","Kommun",17.74
"Stockholm","Region",12.08
"Södertälje","Kommun",20.15
"Södertälje","Region",12.08
"Nacka","Kommun",18.23
"Nacka","Region",12.08
"Sundbyberg","Kommun",18.9
"Sundbyberg","Region",12.08
"Solna","Kommun",17.12
"Solna","Region",12.08
"Lidingö","Kommun",17.99
"Lidingö","Region",12.08
"Vaxholm","Kommun",19.78
"Vaxholm","Region",12.08
"Norrtälje","Kommun",19.72
"Norrtälje","Region",12.08
"Sigtuna","Kommun",20
"Sigtuna","Region",12.08
"Nynäshamn","Kommun",19.85
"Nynäshamn","Region",12.08
"Håbo","Kommun",21.09
"Håbo","Region",11.71
"Älvkarleby","Kommun",22.69
"Älvkarleby","Region",11.71
"Knivsta","Kommun",21.51
"Knivsta","Region",11.71
"Heby","Kommun",22.5
"Heby","Region",11.71
"Tierp","Kommun",21.29
"Tierp","Region",11.71
"Uppsala","Kommun",21.14
"Uppsala","Region",11.71
"Enköping","Kommun",21.34
"Enköping","Region",11.71
"Östhammar","Kommun",21.69
"Östhammar","Region",11.71
"Vingåker","Kommun",22.67
"Vingåker","Region",10.83
"Gnesta","Kommun",22.12
"Gnesta","Region",10.83
"Nyköping","Kommun",21.42
"Nyköping","Region",10.83
"Oxelösund","Kommun",22.22
"Oxelösund","Region",10.83
"Flen","Kommun",22.27
"Flen","Region",10.83
"Katrineholm","Kommun",22.12
"Katrineholm","Region",10.83
"Eskilstuna","Kommun",22.02
"Eskilstuna","Region",10.83
"Strängnäs","Kommun",21.67
"Strängnäs","Region",10.83
"Trosa","Kommun",21.6
"Trosa","Region",10.83
"Ödeshög","Kommun",22.6
"Ödeshög","Region",11.55
"Ydre","Kommun",22.55
"Ydre","Region",11.55
"Kinda","Kommun",21.45
"Kinda","Region",11.55
"Boxholm","Kommun",21.82
"Boxholm","Region",11.55
"Åtvidaberg","Kommun",22.39
"Åtvidaberg","Region",11.55
"Finspång","Kommun",22.15
"Finspång","Region",11.55
"Valdemarsvik","Kommun",22.48
"Valdemarsvik","Region",11.55
"Linköping","Kommun",20.2
"Linköping","Region",11.55
"Norrköping","Kommun",21.75
"Norrköping","Region",11.55
"Söderköping","Kommun",21.18
"Söderköping","Region",11.55
"Motala","Kommun",21.7
"Motala","Region",11.55
"Vadstena","Kommun",22.8
"Vadstena","Region",11.55
"Mjölby","Kommun",21.9
"Mjölby","Region",11.55
"Aneby","Kommun",22.09
"Aneby","Region",11.76
"Gnosjö","Kommun",22.24
"Gnosjö","Region",11.76
"Mullsjö","Kommun",22.34
"Mullsjö","Region",11.76
"Habo","Kommun",22.17
