"region","markanvändningsklass","X2015"
"Upplands Väsby","åkermark",1271
"Upplands Väsby","betesmark",148
"Upplands Väsby","skogsmark, produktiv",2724
"Upplands Väsby","skogsmark, improduktiv",516
"Upplands Väsby","total skogsmark",3240
"Upplands Väsby","bebyggd mark och tillhörande mark",1369
"Upplands Väsby","täkter och gruvområden",106
"Upplands Väsby","golfbanor och skidpistar",105
"Upplands Väsby","vatten",881
"Upplands Väsby","övrig mark",1262
"Upplands Väsby","total landareal",7501
"Vallentuna","åkermark",7434
"Vallentuna","betesmark",867
"Vallentuna","skogsmark, produktiv",16532
"Vallentuna","skogsmark, improduktiv",3134
"Vallentuna","total skogsmark",19666
"Vallentuna","bebyggd mark och tillhörande mark",2556
"Vallentuna","täkter och gruvområden",60
"Vallentuna","golfbanor och skidpistar",389
"Vallentuna","vatten",1071
"Vallentuna","övrig mark",4803
"Vallentuna","total landareal",35774
"Österåker","åkermark",1778
"Österåker","betesmark",462
"Österåker","skogsmark, produktiv",17167
"Österåker","skogsmark, improduktiv",3254
"Österåker","total skogsmark",20421
"Österåker","bebyggd mark och tillhörande mark",4799
"Österåker","täkter och gruvområden",37
"Österåker","golfbanor och skidpistar",291
"Österåker","vatten",1090
"Österåker","övrig mark",3448
"Österåker","total landareal",31237
"Värmdö","åkermark",1100
"Värmdö","betesmark",507
"Värmdö","skogsmark, produktiv",24900
"Värmdö","skogsmark, improduktiv",4720
"Värmdö","total skogsmark",29620
"Värmdö","bebyggd mark och tillhörande mark",8015
"Värmdö","täkter och gruvområden",34
"Värmdö","golfbanor och skidpistar",255
"Värmdö","vatten",846
"Värmdö","övrig mark",5281
"Värmdö","total landareal",44812
"Järfälla","åkermark",194
"Järfälla","betesmark",172
"Järfälla","skogsmark, produktiv",1860
"Järfälla","skogsmark, improduktiv",353
"Järfälla","total skogsmark",2212
"Järfälla","bebyggd mark och tillhörande mark",1836
"Järfälla","täkter och gruvområden",2
"Järfälla","golfbanor och skidpistar",76
"Järfälla","vatten",924
"Järfälla","övrig mark",887
"Järfälla","total landareal",5379
"Ekerö","åkermark",6035
"Ekerö","betesmark",520
"Ekerö","skogsmark, produktiv",7866
"Ekerö","skogsmark, improduktiv",1491
"Ekerö","total skogsmark",9357
"Ekerö","bebyggd mark och tillhörande mark",2893
"Ekerö","täkter och gruvområden",105
"Ekerö","golfbanor och skidpistar",283
"Ekerö","vatten",16707
"Ekerö","övrig mark",2553
"Ekerö","total landareal",21746
"Huddinge","åkermark",432
"Huddinge","betesmark",172
"Huddinge","skogsmark, produktiv",5795
"Huddinge","skogsmark, improduktiv",1099
"Huddinge","total skogsmark",6894
"Huddinge","bebyggd mark och tillhörande mark",3687
"Huddinge","täkter och gruvområden",53
"Huddinge","golfbanor och skidpistar",81
"Huddinge","vatten",964
"Huddinge","övrig mark",1785
"Huddinge","total landareal",13103
"Botkyrka","åkermark",2897
"Botkyrka","betesmark",100
"Botkyrka","skogsmark, produktiv",8909
"Botkyrka","skogsmark, improduktiv",1689
"Botkyrka","total skogsmark",10598
"Botkyrka","bebyggd mark och tillhörande mark",2779
"Botkyrka","täkter och gruvområden",249
"Botkyrka","golfbanor och skidpistar",202
"Botkyrka","vatten",1541
"Botkyrka","övrig mark",2589
"Botkyrka","total landareal",19415
"Salem","åkermark",726
"Salem","betesmark",20
"Salem","skogsmark, produktiv",2693
"Salem","skogsmark, improduktiv",511
"Salem","total skogsmark",3204
