"region","resultaträkningsposter","X2019"
"Upplands Väsby","skatteintäkter",44386
"Upplands Väsby","generella statsbidrag och utjämning",8088
"Vallentuna","skatteintäkter",48426
"Vallentuna","generella statsbidrag och utjämning",6188
"Österåker","skatteintäkter",43297
"Österåker","generella statsbidrag och utjämning",5248
"Värmdö","skatteintäkter",47780
"Värmdö","generella statsbidrag och utjämning",5975
"Järfälla","skatteintäkter",43795
"Järfälla","generella statsbidrag och utjämning",9702
"Ekerö","skatteintäkter",53756
"Ekerö","generella statsbidrag och utjämning",5560
"Huddinge","skatteintäkter",45717
"Huddinge","generella statsbidrag och utjämning",8926
"Botkyrka","skatteintäkter",39076
"Botkyrka","generella statsbidrag och utjämning",17449
"Salem","skatteintäkter",49447
"Salem","generella statsbidrag och utjämning",9265
"Haninge","skatteintäkter",41804
"Haninge","generella statsbidrag och utjämning",11159
"Tyresö","skatteintäkter",51891
"Tyresö","generella statsbidrag och utjämning",4611
"Upplands-Bro","skatteintäkter",41595
"Upplands-Bro","generella statsbidrag och utjämning",13743
"Nykvarn","skatteintäkter",49556
"Nykvarn","generella statsbidrag och utjämning",6456
"Täby","skatteintäkter",55461
"Täby","generella statsbidrag och utjämning",-4859
"Danderyd","skatteintäkter",71385
"Danderyd","generella statsbidrag och utjämning",-15958
"Sollentuna","skatteintäkter",51942
"Sollentuna","generella statsbidrag och utjämning",-135
"Stockholm","skatteintäkter",50494
"Stockholm","generella statsbidrag och utjämning",-4175
"Södertälje","skatteintäkter",40237
"Södertälje","generella statsbidrag och utjämning",18824
"Nacka","skatteintäkter",53232
"Nacka","generella statsbidrag och utjämning",-254
"Sundbyberg","skatteintäkter",46599
"Sundbyberg","generella statsbidrag och utjämning",-2761
"Solna","skatteintäkter",47966
"Solna","generella statsbidrag och utjämning",-9713
"Lidingö","skatteintäkter",62449
"Lidingö","generella statsbidrag och utjämning",-6342
"Vaxholm","skatteintäkter",57450
"Vaxholm","generella statsbidrag och utjämning",-696
"Norrtälje","skatteintäkter",41917
"Norrtälje","generella statsbidrag och utjämning",12635
"Sigtuna","skatteintäkter",43278
"Sigtuna","generella statsbidrag och utjämning",10864
"Nynäshamn","skatteintäkter",43952
"Nynäshamn","generella statsbidrag och utjämning",9383
"Håbo","skatteintäkter",50070
"Håbo","generella statsbidrag och utjämning",4718
"Älvkarleby","skatteintäkter",46819
"Älvkarleby","generella statsbidrag och utjämning",13221
"Knivsta","skatteintäkter",52184
"Knivsta","generella statsbidrag och utjämning",8492
"Heby","skatteintäkter",44529
"Heby","generella statsbidrag och utjämning",15870
"Tierp","skatteintäkter",41767
"Tierp","generella statsbidrag och utjämning",18120
"Uppsala","skatteintäkter",47486
"Uppsala","generella statsbidrag och utjämning",6167
"Enköping","skatteintäkter",45950
"Enköping","generella statsbidrag och utjämning",10456
"Östhammar","skatteintäkter",48028
"Östhammar","generella statsbidrag och utjämning",9125
"Vingåker","skatteintäkter",43215
"Vingåker","generella statsbidrag och utjämning",20304
"Gnesta","skatteintäkter",46198
"Gnesta","generella statsbidrag och utjämning",13388
"Nyköping","skatteintäkter",46681
"Nyköping","generella statsbidrag och utjämning",12954
"Oxelösund","skatteintäkter",47279
"Oxelösund","generella statsbidrag och utjämning",12039
"Flen","skatteintäkter",41989
"Flen","generella statsbidrag och utjämning",23432
"Katrineholm","skatteintäkter",43359
"Katrineholm","generella statsbidrag och utjämning",20638
"Eskilstuna","skatteintäkter",43362
"Eskilstuna","generella statsbidrag och utjämning",17974
"Strängnäs","skatteintäkter",48941
"Strängnäs","generella statsbidrag och utjämning",7519
"Trosa","skatteintäkter",48914
"Trosa","generella statsbidrag och utjämning",5856
"Ödeshög","skatteintäkter",41593
"Ödeshög","generella statsbidrag och utjämning",16790
"Ydre","skatteintäkter",42952
"Ydre","generella statsbidrag och utjämning",17610
"Kinda","skatteintäkter",43022
"Kinda","generella statsbidrag och utjämning",15623
"Boxholm","skatteintäkter",44753
"Boxholm","generella statsbidrag och utjämning",15331
"Åtvidaberg","skatteintäkter",46250
"Åtvidaberg","generella statsbidrag och utjämning",12550
"Finspång","skatteintäkter",46673
"Finspång","generella statsbidrag och utjämning",13871
"Valdemarsvik","skatteintäkter",43251
"Valdemarsvik","generella statsbidrag och utjämning",20326
"Linköping","skatteintäkter",45017
"Linköping","generella statsbidrag och utjämning",7531
"Norrköping","skatteintäkter",45308
"Norrköping","generella statsbidrag och utjämning",14176
"Söderköping","skatteintäkter",46819
"Söderköping","generella statsbidrag och utjämning",12131
"Motala","skatteintäkter",44389
"Motala","generella statsbidrag och utjämning",14003
"Vadstena","skatteintäkter",49338
"Vadstena","generella statsbidrag och utjämning",13031
"Mjölby","skatteintäkter",45866
"Mjölby","generella statsbidrag och utjämning",11989
"Aneby","skatteintäkter",45113
"Aneby","generella statsbidrag och utjämning",13954
"Gnosjö","skatteintäkter",48728
"Gnosjö","generella statsbidrag och utjämning",10803
"Mullsjö","skatteintäkter",46432
"Mullsjö","generella statsbidrag och utjämning",14444
"Habo","skatteintäkter",45656
"Habo","generella statsbidrag och utjämning",11772
"Gislaved","skatteintäkter",46317
"Gislaved","generella statsbidrag och utjämning",12720
"Vaggeryd","skatteintäkter",44082
"Vaggeryd","generella statsbidrag och utjämning",12175
"Jönköping","skatteintäkter",47600
"Jönköping","generella statsbidrag och utjämning",8829
"Nässjö","skatteintäkter",44485
"Nässjö","generella statsbidrag och utjämning",17909
"Värnamo","skatteintäkter",48235
"Värnamo","generella statsbidrag och utjämning",9070
"Sävsjö","skatteintäkter",41951
"Sävsjö","generella statsbidrag och utjämning",21521
"Vetlanda","skatteintäkter",46031
"Vetlanda","generella statsbidrag och utjämning",14336
"Eksjö","skatteintäkter",46494
"Eksjö","generella statsbidrag och utjämning",14726
"Tranås","skatteintäkter",45047
"Tranås","generella statsbidrag och utjämning",16949
"Uppvidinge","skatteintäkter",42754
"Uppvidinge","generella statsbidrag och utjämning",18383
"Lessebo","skatteintäkter",39061
"Lessebo","generella statsbidrag och utjämning",24407
"Tingsryd","skatteintäkter",40770
"Tingsryd","generella statsbidrag och utjämning",21436
"Alvesta","skatteintäkter",42264
"Alvesta","generella statsbidrag och utjämning",18451
"Älmhult","skatteintäkter",48203
"Älmhult","generella statsbidrag och utjämning",10034
"Markaryd","skatteintäkter",38947
"Markaryd","generella statsbidrag och utjämning",19519
"Växjö","skatteintäkter",42733
"Växjö","generella statsbidrag och utjämning",10683
"Ljungby","skatteintäkter",44307
"Ljungby","generella statsbidrag och utjämning",12785
"Högsby","skatteintäkter",39046
"Högsby","generella statsbidrag och utjämning",29452
"Torsås","skatteintäkter",40467
"Torsås","generella statsbidrag och utjämning",18600
"Mörbylånga","skatteintäkter",44871
"Mörbylånga","generella statsbidrag och utjämning",13991
"Hultsfred","skatteintäkter",41346
"Hultsfred","generella statsbidrag och utjämning",25541
"Mönsterås","skatteintäkter",44971
"Mönsterås","generella statsbidrag och utjämning",16702
"Emmaboda","skatteintäkter",42905
"Emmaboda","generella statsbidrag och utjämning",19502
"Kalmar","skatteintäkter",46815
"Kalmar","generella statsbidrag och utjämning",11378
"Nybro","skatteintäkter",42353
"Nybro","generella statsbidrag och utjämning",19704
"Oskarshamn","skatteintäkter",50723
"Oskarshamn","generella statsbidrag och utjämning",8444
"Västervik","skatteintäkter",43319
"Västervik","generella statsbidrag och utjämning",16485
"Vimmerby","skatteintäkter",46182
"Vimmerby","generella statsbidrag och utjämning",15541
"Borgholm","skatteintäkter",42596
"Borgholm","generella statsbidrag och utjämning",19764
"Gotland","skatteintäkter",43048
"Gotland","generella statsbidrag och utjämning",14784
"Olofström","skatteintäkter",45993
"Olofström","generella statsbidrag och utjämning",15494
"Karlskrona","skatteintäkter",46804
"Karlskrona","generella statsbidrag och utjämning",11712
"Ronneby","skatteintäkter",42843
"Ronneby","generella statsbidrag och utjämning",17754
"Karlshamn","skatteintäkter",46159
"Karlshamn","generella statsbidrag och utjämning",13439
"Sölvesborg","skatteintäkter",45431
"Sölvesborg","generella statsbidrag och utjämning",12638
"Svalöv","skatteintäkter",40525
"Svalöv","generella statsbidrag och utjämning",16277
"Staffanstorp","skatteintäkter",43922
"Staffanstorp","generella statsbidrag och utjämning",8794
"Burlöv","skatteintäkter",36534
"Burlöv","generella statsbidrag och utjämning",17969
"Vellinge","skatteintäkter",49638
"Vellinge","generella statsbidrag och utjämning",164
"Östra Göinge","skatteintäkter",37579
"Östra Göinge","generella statsbidrag och utjämning",23106
"Örkelljunga","skatteintäkter",35296
"Örkelljunga","generella statsbidrag och utjämning",17539
"Bjuv","skatteintäkter",39381
"Bjuv","generella statsbidrag och utjämning",16108
"Kävlinge","skatteintäkter",43760
"Kävlinge","generella statsbidrag och utjämning",6506
"Lomma","skatteintäkter",55834
"Lomma","generella statsbidrag och utjämning",237
"Svedala","skatteintäkter",43446
"Svedala","generella statsbidrag och utjämning",10909
"Skurup","skatteintäkter",41690
"Skurup","generella statsbidrag och utjämning",11543
"Sjöbo","skatteintäkter",42011
"Sjöbo","generella statsbidrag och utjämning",13294
"Hörby","skatteintäkter",42243
