"region","utbildningsnivå","ålder","kön","X2019"
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","16-24 år","män",34
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","16-24 år","kvinnor",15
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","25-34 år","män",90
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","25-34 år","kvinnor",64
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","35-44 år","män",122
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","35-44 år","kvinnor",110
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","45-54 år","män",104
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","45-54 år","kvinnor",99
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","55-64 år","män",71
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","55-64 år","kvinnor",105
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","65-74 år","män",208
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","65-74 år","kvinnor",190
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","75-84 år","män",263
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","75-84 år","kvinnor",322
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","85-94 år","män",83
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","85-94 år","kvinnor",160
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","95+ år","män",6
"Upplands Väsby","förgymnasial utbildning kortare än 9 år","95+ år","kvinnor",20
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","16-24 år","män",1048
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","16-24 år","kvinnor",924
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","25-34 år","män",396
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","25-34 år","kvinnor",214
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","35-44 år","män",343
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","35-44 år","kvinnor",172
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","45-54 år","män",362
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","45-54 år","kvinnor",203
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","55-64 år","män",358
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","55-64 år","kvinnor",194
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","65-74 år","män",285
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","65-74 år","kvinnor",266
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","75-84 år","män",84
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","75-84 år","kvinnor",153
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","85-94 år","män",12
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","85-94 år","kvinnor",31
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","95+ år","män",0
"Upplands Väsby","förgymnasial utbildning, 9 (10) år","95+ år","kvinnor",3
"Upplands Väsby","gymnasial utbildning, högst 2 år","16-24 år","män",109
"Upplands Väsby","gymnasial utbildning, högst 2 år","16-24 år","kvinnor",77
"Upplands Väsby","gymnasial utbildning, högst 2 år","25-34 år","män",339
"Upplands Väsby","gymnasial utbildning, högst 2 år","25-34 år","kvinnor",282
"Upplands Väsby","gymnasial utbildning, högst 2 år","35-44 år","män",448
"Upplands Väsby","gymnasial utbildning, högst 2 år","35-44 år","kvinnor",378
"Upplands Väsby","gymnasial utbildning, högst 2 år","45-54 år","män",1100
"Upplands Väsby","gymnasial utbildning, högst 2 år","45-54 år","kvinnor",787
"Upplands Väsby","gymnasial utbildning, högst 2 år","55-64 år","män",846
"Upplands Väsby","gymnasial utbildning, högst 2 år","55-64 år","kvinnor",829
"Upplands Väsby","gymnasial utbildning, högst 2 år","65-74 år","män",478
"Upplands Väsby","gymnasial utbildning, högst 2 år","65-74 år","kvinnor",788
"Upplands Väsby","gymnasial utbildning, högst 2 år","75-84 år","män",251
"Upplands Väsby","gymnasial utbildning, högst 2 år","75-84 år","kvinnor",511
"Upplands Väsby","gymnasial utbildning, högst 2 år","85-94 år","män",46
"Upplands Väsby","gymnasial utbildning, högst 2 år","85-94 år","kvinnor",131
"Upplands Väsby","gymnasial utbildning, högst 2 år","95+ år","män",4
"Upplands Väsby","gymnasial utbildning, högst 2 år","95+ år","kvinnor",13
"Upplands Väsby","gymnasial utbildning, 3 år","16-24 år","män",875
"Upplands Väsby","gymnasial utbildning, 3 år","16-24 år","kvinnor",793
"Upplands Väsby","gymnasial utbildning, 3 år","25-34 år","män",1219
"Upplands Väsby","gymnasial utbildning, 3 år","25-34 år","kvinnor",1005
"Upplands Väsby","gymnasial utbildning, 3 år","35-44 år","män",926
"Upplands Väsby","gymnasial utbildning, 3 år","35-44 år","kvinnor",821
"Upplands Väsby","gymnasial utbildning, 3 år","45-54 år","män",597
"Upplands Väsby","gymnasial utbildning, 3 år","45-54 år","kvinnor",697
"Upplands Väsby","gymnasial utbildning, 3 år","55-64 år","män",342
"Upplands Väsby","gymnasial utbildning, 3 år","55-64 år","kvinnor",396
"Upplands Väsby","gymnasial utbildning, 3 år","65-74 år","män",372
"Upplands Väsby","gymnasial utbildning, 3 år","65-74 år","kvinnor",256
"Upplands Väsby","gymnasial utbildning, 3 år","75-84 år","män",264
"Upplands Väsby","gymnasial utbildning, 3 år","75-84 år","kvinnor",119
"Upplands Väsby","gymnasial utbildning, 3 år","85-94 år","män",62
"Upplands Väsby","gymnasial utbildning, 3 år","85-94 år","kvinnor",22
"Upplands Väsby","gymnasial utbildning, 3 år","95+ år","män",0
"Upplands Väsby","gymnasial utbildning, 3 år","95+ år","kvinnor",0
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","16-24 år","män",161
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","16-24 år","kvinnor",175
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","25-34 år","män",561
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","25-34 år","kvinnor",643
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","35-44 år","män",492
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","35-44 år","kvinnor",447
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","45-54 år","män",563
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","45-54 år","kvinnor",486
