"Kommun","Huvudman","Kön","Behörighet","Antal"
"Ale","Samtliga","Samtliga","Gymnasiebehöriga",43
"Ale","Samtliga","Samtliga","Gymnasieobehöriga",304
"Ale","Kommunal","Samtliga","Gymnasiebehöriga",42
"Ale","Kommunal","Samtliga","Gymnasieobehöriga",280
"Ale","Enskild","Samtliga","Gymnasiebehöriga",0
"Ale","Enskild","Samtliga","Gymnasieobehöriga",25
"Alingsås","Samtliga","Samtliga","Gymnasiebehöriga",69
"Alingsås","Samtliga","Samtliga","Gymnasieobehöriga",445
"Alingsås","Kommunal","Samtliga","Gymnasiebehöriga",64
"Alingsås","Kommunal","Samtliga","Gymnasieobehöriga",349
"Alingsås","Enskild","Samtliga","Gymnasiebehöriga",0
"Alingsås","Enskild","Samtliga","Gymnasieobehöriga",101
"Alvesta","Samtliga","Samtliga","Gymnasiebehöriga",53
"Alvesta","Samtliga","Samtliga","Gymnasieobehöriga",177
"Alvesta","Kommunal","Samtliga","Gymnasiebehöriga",53
"Alvesta","Kommunal","Samtliga","Gymnasieobehöriga",177
"Aneby","Samtliga","Samtliga","Gymnasiebehöriga",10
"Aneby","Samtliga","Samtliga","Gymnasieobehöriga",62
"Aneby","Kommunal","Samtliga","Gymnasiebehöriga",0
"Aneby","Kommunal","Samtliga","Gymnasieobehöriga",71
"Aneby","Enskild","Samtliga","Gymnasiebehöriga",0
"Aneby","Enskild","Samtliga","Gymnasieobehöriga",0
"Arboga","Samtliga","Samtliga","Gymnasiebehöriga",28
"Arboga","Samtliga","Samtliga","Gymnasieobehöriga",142
"Arboga","Kommunal","Samtliga","Gymnasiebehöriga",28
"Arboga","Kommunal","Samtliga","Gymnasieobehöriga",142
"Arjeplog","Samtliga","Samtliga","Gymnasiebehöriga",0
"Arjeplog","Samtliga","Samtliga","Gymnasieobehöriga",28
"Arjeplog","Kommunal","Samtliga","Gymnasiebehöriga",0
"Arjeplog","Kommunal","Samtliga","Gymnasieobehöriga",28
"Arvidsjaur","Samtliga","Samtliga","Gymnasiebehöriga",0
"Arvidsjaur","Samtliga","Samtliga","Gymnasieobehöriga",63
"Arvidsjaur","Kommunal","Samtliga","Gymnasiebehöriga",0
"Arvidsjaur","Kommunal","Samtliga","Gymnasieobehöriga",63
"Arvika","Samtliga","Samtliga","Gymnasiebehöriga",40
"Arvika","Samtliga","Samtliga","Gymnasieobehöriga",237
"Arvika","Kommunal","Samtliga","Gymnasiebehöriga",33
"Arvika","Kommunal","Samtliga","Gymnasieobehöriga",195
"Arvika","Enskild","Samtliga","Gymnasiebehöriga",0
"Arvika","Enskild","Samtliga","Gymnasieobehöriga",49
"Askersund","Samtliga","Samtliga","Gymnasiebehöriga",23
"Askersund","Samtliga","Samtliga","Gymnasieobehöriga",94
"Askersund","Kommunal","Samtliga","Gymnasiebehöriga",23
"Askersund","Kommunal","Samtliga","Gymnasieobehöriga",94
"Avesta","Samtliga","Samtliga","Gymnasiebehöriga",62
"Avesta","Samtliga","Samtliga","Gymnasieobehöriga",161
"Avesta","Kommunal","Samtliga","Gymnasiebehöriga",62
"Avesta","Kommunal","Samtliga","Gymnasieobehöriga",161
"Bengtsfors","Samtliga","Samtliga","Gymnasiebehöriga",38
"Bengtsfors","Samtliga","Samtliga","Gymnasieobehöriga",77
"Bengtsfors","Kommunal","Samtliga","Gymnasiebehöriga",38
"Bengtsfors","Kommunal","Samtliga","Gymnasieobehöriga",77
"Berg","Samtliga","Samtliga","Gymnasiebehöriga",18
"Berg","Samtliga","Samtliga","Gymnasieobehöriga",69
"Berg","Kommunal","Samtliga","Gymnasiebehöriga",18
"Berg","Kommunal","Samtliga","Gymnasieobehöriga",69
"Bjurholm","Samtliga","Samtliga","Gymnasiebehöriga",0
"Bjurholm","Samtliga","Samtliga","Gymnasieobehöriga",28
"Bjurholm","Kommunal","Samtliga","Gymnasiebehöriga",0
"Bjurholm","Kommunal","Samtliga","Gymnasieobehöriga",28
"Bjuv","Samtliga","Samtliga","Gymnasiebehöriga",38
"Bjuv","Samtliga","Samtliga","Gymnasieobehöriga",145
"Bjuv","Kommunal","Samtliga","Gymnasiebehöriga",38
"Bjuv","Kommunal","Samtliga","Gymnasieobehöriga",145
"Boden","Samtliga","Samtliga","Gymnasiebehöriga",42
"Boden","Samtliga","Samtliga","Gymnasieobehöriga",229
"Boden","Kommunal","Samtliga","Gymnasiebehöriga",36
"Boden","Kommunal","Samtliga","Gymnasieobehöriga",168
"Boden","Enskild","Samtliga","Gymnasiebehöriga",0
"Boden","Enskild","Samtliga","Gymnasieobehöriga",67
"Bollebygd","Samtliga","Samtliga","Gymnasiebehöriga",12
"Bollebygd","Samtliga","Samtliga","Gymnasieobehöriga",108
"Bollebygd","Kommunal","Samtliga","Gymnasiebehöriga",12
"Bollebygd","Kommunal","Samtliga","Gymnasieobehöriga",108
"Bollnäs","Samtliga","Samtliga","Gymnasiebehöriga",57
