"Municipality","SchoolOrganiser","Gender","Students","value"
"Ale","Samtliga","Samtliga","Total",347
"Ale","Samtliga","Samtliga","Eligible",303.972
"Ale","Samtliga","Samtliga","Ineligible",43.028
"Ale","Kommunal","Samtliga","Total",322
"Ale","Kommunal","Samtliga","Eligible",280.14
"Ale","Kommunal","Samtliga","Ineligible",41.86
"Ale","Enskild","Samtliga","Total",25
"Ale","Enskild","Samtliga","Eligible",25
"Ale","Enskild","Samtliga","Ineligible",0
"Alingsås","Samtliga","Samtliga","Total",514
"Alingsås","Samtliga","Samtliga","Eligible",445.124
"Alingsås","Samtliga","Samtliga","Ineligible",68.876
"Alingsås","Kommunal","Samtliga","Total",413
"Alingsås","Kommunal","Samtliga","Eligible",348.985
"Alingsås","Kommunal","Samtliga","Ineligible",64.015
"Alingsås","Enskild","Samtliga","Total",101
"Alingsås","Enskild","Samtliga","Eligible",101
"Alingsås","Enskild","Samtliga","Ineligible",0
"Alvesta","Samtliga","Samtliga","Total",230
"Alvesta","Samtliga","Samtliga","Eligible",177.1
"Alvesta","Samtliga","Samtliga","Ineligible",52.9
"Alvesta","Kommunal","Samtliga","Total",230
"Alvesta","Kommunal","Samtliga","Eligible",177.1
"Alvesta","Kommunal","Samtliga","Ineligible",52.9
"Aneby","Samtliga","Samtliga","Total",72
"Aneby","Samtliga","Samtliga","Eligible",61.992
"Aneby","Samtliga","Samtliga","Ineligible",10.008
"Aneby","Kommunal","Samtliga","Total",71
"Aneby","Kommunal","Samtliga","Eligible",71
"Aneby","Kommunal","Samtliga","Ineligible",0
"Aneby","Enskild","Samtliga","Total",0
"Aneby","Enskild","Samtliga","Eligible",0
"Aneby","Enskild","Samtliga","Ineligible",0
"Arboga","Samtliga","Samtliga","Total",170
"Arboga","Samtliga","Samtliga","Eligible",141.95
"Arboga","Samtliga","Samtliga","Ineligible",28.05
"Arboga","Kommunal","Samtliga","Total",170
"Arboga","Kommunal","Samtliga","Eligible",141.95
"Arboga","Kommunal","Samtliga","Ineligible",28.05
"Arjeplog","Samtliga","Samtliga","Total",28
"Arjeplog","Samtliga","Samtliga","Eligible",28
"Arjeplog","Samtliga","Samtliga","Ineligible",0
"Arjeplog","Kommunal","Samtliga","Total",28
"Arjeplog","Kommunal","Samtliga","Eligible",28
"Arjeplog","Kommunal","Samtliga","Ineligible",0
"Arvidsjaur","Samtliga","Samtliga","Total",63
"Arvidsjaur","Samtliga","Samtliga","Eligible",63
"Arvidsjaur","Samtliga","Samtliga","Ineligible",0
"Arvidsjaur","Kommunal","Samtliga","Total",63
"Arvidsjaur","Kommunal","Samtliga","Eligible",63
"Arvidsjaur","Kommunal","Samtliga","Ineligible",0
"Arvika","Samtliga","Samtliga","Total",277
"Arvika","Samtliga","Samtliga","Eligible",237.112
"Arvika","Samtliga","Samtliga","Ineligible",39.888
"Arvika","Kommunal","Samtliga","Total",228
"Arvika","Kommunal","Samtliga","Eligible",194.94
"Arvika","Kommunal","Samtliga","Ineligible",33.06
"Arvika","Enskild","Samtliga","Total",49
"Arvika","Enskild","Samtliga","Eligible",49
"Arvika","Enskild","Samtliga","Ineligible",0
"Askersund","Samtliga","Samtliga","Total",117
"Askersund","Samtliga","Samtliga","Eligible",93.951
"Askersund","Samtliga","Samtliga","Ineligible",23.049
"Askersund","Kommunal","Samtliga","Total",117
"Askersund","Kommunal","Samtliga","Eligible",93.951
"Askersund","Kommunal","Samtliga","Ineligible",23.049
"Avesta","Samtliga","Samtliga","Total",223
"Avesta","Samtliga","Samtliga","Eligible",161.006
"Avesta","Samtliga","Samtliga","Ineligible",61.994
"Avesta","Kommunal","Samtliga","Total",223
"Avesta","Kommunal","Samtliga","Eligible",161.006
"Avesta","Kommunal","Samtliga","Ineligible",61.994
"Bengtsfors","Samtliga","Samtliga","Total",115
"Bengtsfors","Samtliga","Samtliga","Eligible",77.05
"Bengtsfors","Samtliga","Samtliga","Ineligible",37.95
"Bengtsfors","Kommunal","Samtliga","Total",115
"Bengtsfors","Kommunal","Samtliga","Eligible",77.05
"Bengtsfors","Kommunal","Samtliga","Ineligible",37.95
"Berg","Samtliga","Samtliga","Total",87
"Berg","Samtliga","Samtliga","Eligible",68.991
"Berg","Samtliga","Samtliga","Ineligible",18.009
"Berg","Kommunal","Samtliga","Total",87
"Berg","Kommunal","Samtliga","Eligible",68.991
"Berg","Kommunal","Samtliga","Ineligible",18.009
"Bjurholm","Samtliga","Samtliga","Total",28
"Bjurholm","Samtliga","Samtliga","Eligible",28
"Bjurholm","Samtliga","Samtliga","Ineligible",0
"Bjurholm","Kommunal","Samtliga","Total",28
"Bjurholm","Kommunal","Samtliga","Eligible",28
"Bjurholm","Kommunal","Samtliga","Ineligible",0
"Bjuv","Samtliga","Samtliga","Total",183
"Bjuv","Samtliga","Samtliga","Eligible",144.936
"Bjuv","Samtliga","Samtliga","Ineligible",38.064
"Bjuv","Kommunal","Samtliga","Total",183
"Bjuv","Kommunal","Samtliga","Eligible",144.936
"Bjuv","Kommunal","Samtliga","Ineligible",38.064
"Boden","Samtliga","Samtliga","Total",271
"Boden","Samtliga","Samtliga","Eligible",228.995
"Boden","Samtliga","Samtliga","Ineligible",42.005
"Boden","Kommunal","Samtliga","Total",204
"Boden","Kommunal","Samtliga","Eligible",168.096
"Boden","Kommunal","Samtliga","Ineligible",35.904
"Boden","Enskild","Samtliga","Total",67
"Boden","Enskild","Samtliga","Eligible",67
"Boden","Enskild","Samtliga","Ineligible",0
"Bollebygd","Samtliga","Samtliga","Total",120
"Bollebygd","Samtliga","Samtliga","Eligible",108
"Bollebygd","Samtliga","Samtliga","Ineligible",12
"Bollebygd","Kommunal","Samtliga","Total",120
"Bollebygd","Kommunal","Samtliga","Eligible",108
"Bollebygd","Kommunal","Samtliga","Ineligible",12
"Bollnäs","Samtliga","Samtliga","Total",306
"Bollnäs","Samtliga","Samtliga","Eligible",249.084
"Bollnäs","Samtliga","Samtliga","Ineligible",56.916
"Bollnäs","Kommunal","Samtliga","Total",187
"Bollnäs","Kommunal","Samtliga","Eligible",134.079
"Bollnäs","Kommunal","Samtliga","Ineligible",52.921
"Bollnäs","Enskild","Samtliga","Total",119
"Bollnäs","Enskild","Samtliga","Eligible",119
"Bollnäs","Enskild","Samtliga","Ineligible",0
"Borgholm","Samtliga","Samtliga","Total",90
"Borgholm","Samtliga","Samtliga","Eligible",66.96
"Borgholm","Samtliga","Samtliga","Ineligible",23.04
